job_id,title,company,salary,location,job_type,link
43,Data Engineer- DV cleared,Searchability,"£53,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer-dv-cleared/53971072?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D2
44,"Lead Data Engineer - £95,000",Nigel Frank International,"£75,000 - £95,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/lead-data-engineer-95000/53791636?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D2
45,"Data Engineer - London / Hybrid - £75,000",Nigel Frank International,"£70,000 - £75,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer-london-hybrid-75000/53964707?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D2
46,Data Engineer - £700 per day,BCT Resourcing ,£600 - £700 per day,"City of London, London","Contract, full-time",https://www.reed.co.uk/jobs/data-engineer-700-per-day/53807838?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D2
47,Data Engineer - Tech/payments - London,Salt Search,£250 - £300 per day,London,"Contract, full-time or part-time",https://www.reed.co.uk/jobs/data-engineer-tech-payments-london/53831995?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D2
48,"Lead Data Engineer - London - £95,000",Nigel Frank International,"£85,000 - £95,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/lead-data-engineer-london-95000/53802990?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D2
49,AI Engineer,Sanderson,"£60,000 - £90,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/ai-engineer/53829312?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D2
50,Staff Data Engineer,Provide,"£95,000 - £100,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/staff-data-engineer/53526820?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D2
51,Palantir Data Engineer, Deerfoot Recruitment Solutions Ltd,Salary negotiable,London,"Permanent, full-time",https://www.reed.co.uk/jobs/palantir-data-engineer/53909560?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D3
52,Data Engineer - Hybrid Working - OUTSIDE IR35,Proactive Appointments,£600 - £625 per day,London,"Contract, full-time",https://www.reed.co.uk/jobs/data-engineer-hybrid-working-outside-ir35/53768371?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D3
53,Data Engineer - AWS - £70k - Hybrid - Liverpool,Nigel Frank International,"£65,000 - £70,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer-aws-70k-hybrid-liverpool/53883616?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D3
