,title,company,salary,location,job_type,link
59,Data Engineer,Harnham - Data & Analytics Recruitment,"£40,000 - £45,000 per annum","Liverpool, Merseyside","Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53465635?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D3
60,Data Engineer,Harnham - Data & Analytics Recruitment,"£50,000 - £55,000 per annum","Leeds, West Yorkshire","Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53571187?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D3
61,Data Engineer,Harnham - Data & Analytics Recruitment,"£50,000 - £55,000 per annum","Manchester, Lancashire","Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53571186?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D3
62,Data Engineer,Adria Solutions,"£50,000 - £60,000 per annum, inc benefits","Manchester, Lancashire","Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53528367?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D3
63,Data Engineer,Harnham - Data & Analytics Recruitment,"£50,000 - £55,000 per annum","West London, London","Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53696212?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D3
64,Data Engineer,In Technology Group Limited,£300 - £350 per day,London,"Contract, full-time",https://www.reed.co.uk/jobs/data-engineer/53144936?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D3
65,Data Engineer,Harnham - Data & Analytics Recruitment,"£55,000 - £60,000 per annum","Lancaster, Lancashire","Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53577884?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D3
66,Data Engineer,MADE4TECH GLOBAL LIMITED,"£40,000 - £45,000 per annum","Manchester, Lancashire","Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53677266?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D3
67,Data Engineer,Asset Resourcing Limited,"£85,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53765660?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D3
68,Data Engineer,Adria Solutions,"£45,000 - £60,000 per annum, negotiable","Manchester, Lancashire","Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53417160?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D3
69,Data Engineer,Sanderson,"£75,000 - £80,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53483479?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D3
70,Data Engineer,Robert Walters,"£60,000 - £65,000 per annum","Leeds, West Yorkshire","Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53777755?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D3
71,Data Engineer,Robert Half,Salary negotiable,London,"Contract, full-time",https://www.reed.co.uk/jobs/data-engineer/53571976?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D3
72,Data Engineer,Nigel Frank International,"£50,000 per annum","Wilmslow, Cheshire","Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53397867?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D3
73,Data Engineer,Pontoon,£500 per day,"Warwick, Warwickshire","Contract, full-time",https://www.reed.co.uk/jobs/data-engineer/53567659?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D3
74,Data Engineer,Gershon Resourcing,"£57,000 - £67,000 per annum","Norwich, Norfolk","Contract, full-time",https://www.reed.co.uk/jobs/data-engineer/53723895?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D3
75, Data Engineer,Stonewater ,"£60,000 per annum","Kenilworth, Warwickshire","Contract, full-time",https://www.reed.co.uk/jobs/data-engineer/53769143?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D3
76,Data Engineer,	 R3vamp Limited,"£55,000 - £65,000 per annum","Chandler's Ford, Hampshire","Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53483332?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D3
77,AI Engineer,Harnham - Data & Analytics Recruitment,"USD$20,000 - USD$150,000 per annum",USA,"Permanent, full-time",https://www.reed.co.uk/jobs/ai-engineer/53767557?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D3
78,Data Engineer,Surrey County Council,"£35,730 - £38,585 per annum","Reigate, Surrey","Permanent, full-time or part-time",https://www.reed.co.uk/jobs/data-engineer/53753719?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D4
79,AI Engineer,Sanderson,"£60,000 - £90,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/ai-engineer/53695300?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D4
80,Senior Data Engineer,Method Resourcing,"£70,000 - £85,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/senior-data-engineer/53605997?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D4
81,Lead Data Engineer ,Maxwell Bond,"£60,000 - £85,000 per annum","Liverpool, Merseyside","Permanent, full-time",https://www.reed.co.uk/jobs/lead-data-engineer/53401915?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D4
82,Staff Data Engineer,Harnham - Data & Analytics Recruitment,"£90,000 - £100,000 per annum","Brighton, East Sussex","Permanent, full-time",https://www.reed.co.uk/jobs/staff-data-engineer/53563725?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D4
83,Lead Data Engineer,Adecco ,£600 per day,London,"Contract, full-time",https://www.reed.co.uk/jobs/lead-data-engineer/53726823?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D4
84,Senior Data Engineer,Harnham - Data & Analytics Recruitment,"£75,000 - £85,000 per annum",Berkshire,"Permanent, full-time",https://www.reed.co.uk/jobs/senior-data-engineer/53499999?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D4
85,Lead Data Engineer,Harnham - Data & Analytics Recruitment,"£75,000 - £80,000 per annum","Manchester, Lancashire","Permanent, full-time",https://www.reed.co.uk/jobs/lead-data-engineer/53776288?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D4
86,Lead Data Engineer,Harnham - Data & Analytics Recruitment,"£75,000 - £80,000 per annum","Manchester, Lancashire","Permanent, full-time",https://www.reed.co.uk/jobs/lead-data-engineer/53728471?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D4
87,Senior Data Engineer,Harnham - Data & Analytics Recruitment,"£75,000 - £80,000 per annum","Manchester, Lancashire","Permanent, full-time",https://www.reed.co.uk/jobs/senior-data-engineer/53472180?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D4
88,Lead Data Engineer,SR2,£500 - £525 per day,London,"Contract, full-time",https://www.reed.co.uk/jobs/lead-data-engineer/53543656?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D4
89,Data Engineer - Manchester,Circle Recruitment,"£45,000 - £60,000 per annum","Manchester, Lancashire","Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer-manchester/53769333?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D4
